padding token id: 0
bos token id: 1
eos token id: 2
vocab size: 128000
Dataset size: 1196218
Dataset is shuffled...
Dataset is splitted...
Total labels:  1423635
Total labels:  165248
{'loss': 7.6016, 'grad_norm': 7.538225173950195, 'learning_rate': 7.400802496656264e-06, 'epoch': 0.06}
{'loss': 7.9136, 'grad_norm': 6.155433654785156, 'learning_rate': 7.489968791796701e-06, 'epoch': 0.06}
{'loss': 9.1414, 'grad_norm': 11.56414794921875, 'learning_rate': 7.579135086937138e-06, 'epoch': 0.06}
{'loss': 7.5896, 'grad_norm': 3.194030523300171, 'learning_rate': 7.668301382077576e-06, 'epoch': 0.06}
{'loss': 7.8239, 'grad_norm': 10.645960807800293, 'learning_rate': 7.757467677218013e-06, 'epoch': 0.06}
{'loss': 7.3196, 'grad_norm': 12.019441604614258, 'learning_rate': 7.846633972358449e-06, 'epoch': 0.06}
{'loss': 7.7699, 'grad_norm': 43.217689514160156, 'learning_rate': 7.935800267498886e-06, 'epoch': 0.06}
{'loss': 8.3146, 'grad_norm': 7.729722499847412, 'learning_rate': 8.024966562639322e-06, 'epoch': 0.06}
{'loss': 8.7564, 'grad_norm': 32.958213806152344, 'learning_rate': 8.114132857779759e-06, 'epoch': 0.06}
{'loss': 7.4677, 'grad_norm': 17.73978614807129, 'learning_rate': 8.203299152920196e-06, 'epoch': 0.06}
{'loss': 8.2931, 'grad_norm': 5.797582626342773, 'learning_rate': 8.292465448060634e-06, 'epoch': 0.06}
{'loss': 8.8321, 'grad_norm': 6.540323257446289, 'learning_rate': 8.381631743201071e-06, 'epoch': 0.06}
{'loss': 7.9142, 'grad_norm': 12.704256057739258, 'learning_rate': 8.470798038341509e-06, 'epoch': 0.06}
{'loss': 7.3318, 'grad_norm': 12.107152938842773, 'learning_rate': 8.559964333481944e-06, 'epoch': 0.06}
{'loss': 7.5164, 'grad_norm': 27.919424057006836, 'learning_rate': 8.649130628622382e-06, 'epoch': 0.06}
{'loss': 7.9683, 'grad_norm': 9.038089752197266, 'learning_rate': 8.738296923762817e-06, 'epoch': 0.07}
{'loss': 9.1822, 'grad_norm': 15.220540046691895, 'learning_rate': 8.827463218903255e-06, 'epoch': 0.07}
{'loss': 6.7647, 'grad_norm': 14.34876537322998, 'learning_rate': 8.916629514043692e-06, 'epoch': 0.07}
{'loss': 7.4863, 'grad_norm': 7.003182411193848, 'learning_rate': 9.00579580918413e-06, 'epoch': 0.07}
{'loss': 6.6941, 'grad_norm': 1.626058578491211, 'learning_rate': 9.094962104324567e-06, 'epoch': 0.07}
{'loss': 8.5689, 'grad_norm': 21.922103881835938, 'learning_rate': 9.184128399465003e-06, 'epoch': 0.07}
{'loss': 8.9878, 'grad_norm': 5.971524238586426, 'learning_rate': 9.27329469460544e-06, 'epoch': 0.07}
{'loss': 9.0396, 'grad_norm': 11.852890968322754, 'learning_rate': 9.362460989745877e-06, 'epoch': 0.07}
{'loss': 6.7758, 'grad_norm': 4.622395992279053, 'learning_rate': 9.451627284886313e-06, 'epoch': 0.07}
{'loss': 6.4335, 'grad_norm': 3.123220443725586, 'learning_rate': 9.54079358002675e-06, 'epoch': 0.07}
{'loss': 6.815, 'grad_norm': 35.89836502075195, 'learning_rate': 9.629959875167188e-06, 'epoch': 0.07}
{'loss': 7.9512, 'grad_norm': 9.625480651855469, 'learning_rate': 9.719126170307625e-06, 'epoch': 0.07}
{'loss': 7.2144, 'grad_norm': 7.856395244598389, 'learning_rate': 9.80829246544806e-06, 'epoch': 0.07}
{'loss': 6.8836, 'grad_norm': 9.9315185546875, 'learning_rate': 9.897458760588498e-06, 'epoch': 0.07}
{'loss': 6.6723, 'grad_norm': 6.799273490905762, 'learning_rate': 9.986625055728936e-06, 'epoch': 0.07}
{'loss': 7.4885, 'grad_norm': 26.531352996826172, 'learning_rate': 1.0075791350869373e-05, 'epoch': 0.08}
{'loss': 8.0837, 'grad_norm': 11.027904510498047, 'learning_rate': 1.016495764600981e-05, 'epoch': 0.08}
{'loss': 7.6913, 'grad_norm': 20.539220809936523, 'learning_rate': 1.0254123941150248e-05, 'epoch': 0.08}
{'loss': 7.6098, 'grad_norm': 16.083778381347656, 'learning_rate': 1.0343290236290683e-05, 'epoch': 0.08}
{'loss': 8.1504, 'grad_norm': 14.002352714538574, 'learning_rate': 1.0432456531431119e-05, 'epoch': 0.08}
{'loss': 7.3162, 'grad_norm': 12.658208847045898, 'learning_rate': 1.0521622826571556e-05, 'epoch': 0.08}
{'loss': 8.3627, 'grad_norm': 6.587989330291748, 'learning_rate': 1.0610789121711992e-05, 'epoch': 0.08}
{'loss': 7.2519, 'grad_norm': 10.457650184631348, 'learning_rate': 1.069995541685243e-05, 'epoch': 0.08}
{'loss': 6.475, 'grad_norm': 10.652312278747559, 'learning_rate': 1.0789121711992867e-05, 'epoch': 0.08}
{'loss': 8.6667, 'grad_norm': 29.97507095336914, 'learning_rate': 1.0878288007133304e-05, 'epoch': 0.08}
{'loss': 7.1003, 'grad_norm': 7.246026515960693, 'learning_rate': 1.0967454302273742e-05, 'epoch': 0.08}
{'loss': 7.8683, 'grad_norm': 4.845912933349609, 'learning_rate': 1.1056620597414179e-05, 'epoch': 0.08}
{'loss': 7.0034, 'grad_norm': 4.6385087966918945, 'learning_rate': 1.1145786892554615e-05, 'epoch': 0.08}
{'loss': 5.8618, 'grad_norm': 9.088876724243164, 'learning_rate': 1.1234953187695052e-05, 'epoch': 0.08}
{'loss': 6.3223, 'grad_norm': 6.169975280761719, 'learning_rate': 1.132411948283549e-05, 'epoch': 0.08}
{'loss': 7.8339, 'grad_norm': 36.89557647705078, 'learning_rate': 1.1413285777975927e-05, 'epoch': 0.09}
{'loss': 7.5356, 'grad_norm': 23.101709365844727, 'learning_rate': 1.1502452073116364e-05, 'epoch': 0.09}
{'loss': 6.7939, 'grad_norm': 12.7390775680542, 'learning_rate': 1.15916183682568e-05, 'epoch': 0.09}
{'loss': 6.9227, 'grad_norm': 14.360722541809082, 'learning_rate': 1.1680784663397237e-05, 'epoch': 0.09}
{'loss': 6.0404, 'grad_norm': 9.870813369750977, 'learning_rate': 1.1769950958537675e-05, 'epoch': 0.09}
{'loss': 6.4978, 'grad_norm': 4.265246868133545, 'learning_rate': 1.185911725367811e-05, 'epoch': 0.09}
{'loss': 6.3608, 'grad_norm': 21.54722785949707, 'learning_rate': 1.1948283548818546e-05, 'epoch': 0.09}
{'loss': 6.3344, 'grad_norm': 17.08354377746582, 'learning_rate': 1.2037449843958983e-05, 'epoch': 0.09}
{'loss': 6.1247, 'grad_norm': 23.833972930908203, 'learning_rate': 1.212661613909942e-05, 'epoch': 0.09}
{'loss': 7.1463, 'grad_norm': 5.847506046295166, 'learning_rate': 1.2215782434239858e-05, 'epoch': 0.09}
{'loss': 7.9816, 'grad_norm': 4.541861534118652, 'learning_rate': 1.2304948729380296e-05, 'epoch': 0.09}
{'loss': 6.6307, 'grad_norm': 11.569344520568848, 'learning_rate': 1.2394115024520731e-05, 'epoch': 0.09}
{'loss': 5.5172, 'grad_norm': 10.987212181091309, 'learning_rate': 1.2483281319661169e-05, 'epoch': 0.09}
{'loss': 7.1436, 'grad_norm': 12.067233085632324, 'learning_rate': 1.2572447614801606e-05, 'epoch': 0.09}
{'loss': 6.5726, 'grad_norm': 5.1486029624938965, 'learning_rate': 1.2661613909942043e-05, 'epoch': 0.09}
{'loss': 6.6526, 'grad_norm': 38.20382308959961, 'learning_rate': 1.275078020508248e-05, 'epoch': 0.1}
{'loss': 5.7114, 'grad_norm': 15.30589485168457, 'learning_rate': 1.2839946500222918e-05, 'epoch': 0.1}
{'loss': 7.653, 'grad_norm': 8.074226379394531, 'learning_rate': 1.2929112795363354e-05, 'epoch': 0.1}
{'loss': 8.1007, 'grad_norm': 22.072656631469727, 'learning_rate': 1.3018279090503791e-05, 'epoch': 0.1}
{'loss': 5.7097, 'grad_norm': 21.22319221496582, 'learning_rate': 1.3107445385644229e-05, 'epoch': 0.1}
{'loss': 6.8847, 'grad_norm': 8.249215126037598, 'learning_rate': 1.3196611680784663e-05, 'epoch': 0.1}
{'loss': 7.4359, 'grad_norm': 8.611560821533203, 'learning_rate': 1.32857779759251e-05, 'epoch': 0.1}
{'loss': 7.2849, 'grad_norm': 26.190420150756836, 'learning_rate': 1.3374944271065537e-05, 'epoch': 0.1}
{'loss': 5.6093, 'grad_norm': 14.208537101745605, 'learning_rate': 1.3464110566205975e-05, 'epoch': 0.1}
{'loss': 7.0295, 'grad_norm': 17.084367752075195, 'learning_rate': 1.3553276861346412e-05, 'epoch': 0.1}
{'loss': 6.8092, 'grad_norm': 20.305938720703125, 'learning_rate': 1.364244315648685e-05, 'epoch': 0.1}
{'loss': 6.6336, 'grad_norm': 15.697729110717773, 'learning_rate': 1.3731609451627285e-05, 'epoch': 0.1}
{'loss': 6.6836, 'grad_norm': 7.3267107009887695, 'learning_rate': 1.3820775746767722e-05, 'epoch': 0.1}
{'loss': 6.4226, 'grad_norm': 14.191810607910156, 'learning_rate': 1.390994204190816e-05, 'epoch': 0.1}
{'loss': 5.9489, 'grad_norm': 5.341912269592285, 'learning_rate': 1.3999108337048597e-05, 'epoch': 0.1}
{'loss': 6.2698, 'grad_norm': 94.80176544189453, 'learning_rate': 1.4088274632189035e-05, 'epoch': 0.11}
{'loss': 6.1985, 'grad_norm': 6.632511615753174, 'learning_rate': 1.417744092732947e-05, 'epoch': 0.11}
{'loss': 6.0264, 'grad_norm': 56.11903762817383, 'learning_rate': 1.4266607222469908e-05, 'epoch': 0.11}
{'loss': 6.3807, 'grad_norm': 12.8308744430542, 'learning_rate': 1.4355773517610345e-05, 'epoch': 0.11}
{'loss': 6.9845, 'grad_norm': 77.99654388427734, 'learning_rate': 1.4444939812750782e-05, 'epoch': 0.11}
{'loss': 6.8419, 'grad_norm': 47.5703010559082, 'learning_rate': 1.453410610789122e-05, 'epoch': 0.11}
{'loss': 6.5821, 'grad_norm': 23.669788360595703, 'learning_rate': 1.4623272403031654e-05, 'epoch': 0.11}
{'loss': 5.6527, 'grad_norm': 6.224911689758301, 'learning_rate': 1.4712438698172091e-05, 'epoch': 0.11}
{'loss': 5.8344, 'grad_norm': 3.2171175479888916, 'learning_rate': 1.4801604993312529e-05, 'epoch': 0.11}
{'loss': 7.8053, 'grad_norm': 12.569337844848633, 'learning_rate': 1.4890771288452966e-05, 'epoch': 0.11}
{'loss': 6.2106, 'grad_norm': 7.452831268310547, 'learning_rate': 1.4979937583593402e-05, 'epoch': 0.11}
{'loss': 5.6932, 'grad_norm': 23.569955825805664, 'learning_rate': 1.5069103878733839e-05, 'epoch': 0.11}
{'loss': 4.6299, 'grad_norm': 8.594980239868164, 'learning_rate': 1.5158270173874276e-05, 'epoch': 0.11}
{'loss': 7.0609, 'grad_norm': 15.204004287719727, 'learning_rate': 1.5247436469014714e-05, 'epoch': 0.11}
{'loss': 6.0061, 'grad_norm': 1.694053053855896, 'learning_rate': 1.533660276415515e-05, 'epoch': 0.12}
{'loss': 6.2271, 'grad_norm': 8.266220092773438, 'learning_rate': 1.542576905929559e-05, 'epoch': 0.12}
{'loss': 5.4069, 'grad_norm': 16.743616104125977, 'learning_rate': 1.5514935354436026e-05, 'epoch': 0.12}
{'loss': 6.1954, 'grad_norm': 20.6030216217041, 'learning_rate': 1.5604101649576463e-05, 'epoch': 0.12}
{'loss': 5.9484, 'grad_norm': 17.416288375854492, 'learning_rate': 1.5693267944716897e-05, 'epoch': 0.12}
{'loss': 6.6655, 'grad_norm': 17.85386085510254, 'learning_rate': 1.5782434239857335e-05, 'epoch': 0.12}
{'loss': 6.1684, 'grad_norm': 10.4050874710083, 'learning_rate': 1.5871600534997772e-05, 'epoch': 0.12}
{'loss': 6.3587, 'grad_norm': 18.343093872070312, 'learning_rate': 1.596076683013821e-05, 'epoch': 0.12}
{'loss': 4.8094, 'grad_norm': 5.47251558303833, 'learning_rate': 1.6049933125278643e-05, 'epoch': 0.12}
{'loss': 6.0326, 'grad_norm': 8.5675687789917, 'learning_rate': 1.613909942041908e-05, 'epoch': 0.12}
{'loss': 5.8621, 'grad_norm': 9.506707191467285, 'learning_rate': 1.6228265715559518e-05, 'epoch': 0.12}
{'loss': 6.0735, 'grad_norm': 12.055168151855469, 'learning_rate': 1.6317432010699956e-05, 'epoch': 0.12}
{'loss': 6.6575, 'grad_norm': 9.253799438476562, 'learning_rate': 1.6406598305840393e-05, 'epoch': 0.12}
{'loss': 6.5046, 'grad_norm': 20.53309440612793, 'learning_rate': 1.649576460098083e-05, 'epoch': 0.12}
{'loss': 6.3008, 'grad_norm': 7.732086658477783, 'learning_rate': 1.6584930896121268e-05, 'epoch': 0.12}
{'loss': 7.707, 'grad_norm': 18.711902618408203, 'learning_rate': 1.6674097191261705e-05, 'epoch': 0.13}
{'loss': 5.7699, 'grad_norm': 9.59294319152832, 'learning_rate': 1.6763263486402142e-05, 'epoch': 0.13}
{'loss': 5.9108, 'grad_norm': 29.555688858032227, 'learning_rate': 1.685242978154258e-05, 'epoch': 0.13}
{'loss': 5.9267, 'grad_norm': 16.923280715942383, 'learning_rate': 1.6941596076683017e-05, 'epoch': 0.13}
{'loss': 5.2964, 'grad_norm': 24.37577247619629, 'learning_rate': 1.703076237182345e-05, 'epoch': 0.13}
{'loss': 5.827, 'grad_norm': 11.424931526184082, 'learning_rate': 1.711992866696389e-05, 'epoch': 0.13}
{'loss': 6.1959, 'grad_norm': 14.99824047088623, 'learning_rate': 1.7209094962104326e-05, 'epoch': 0.13}
{'loss': 6.7841, 'grad_norm': 7.7653961181640625, 'learning_rate': 1.7298261257244763e-05, 'epoch': 0.13}
{'loss': 5.6142, 'grad_norm': 12.271357536315918, 'learning_rate': 1.7387427552385197e-05, 'epoch': 0.13}
{'loss': 5.9112, 'grad_norm': 7.961563587188721, 'learning_rate': 1.7476593847525635e-05, 'epoch': 0.13}
{'loss': 6.3758, 'grad_norm': 16.776641845703125, 'learning_rate': 1.7565760142666072e-05, 'epoch': 0.13}
{'loss': 6.9254, 'grad_norm': 11.460107803344727, 'learning_rate': 1.765492643780651e-05, 'epoch': 0.13}
{'loss': 6.729, 'grad_norm': 14.547441482543945, 'learning_rate': 1.7744092732946947e-05, 'epoch': 0.13}
{'loss': 5.1664, 'grad_norm': 9.455081939697266, 'learning_rate': 1.7833259028087384e-05, 'epoch': 0.13}
{'loss': 5.8525, 'grad_norm': 27.898225784301758, 'learning_rate': 1.792242532322782e-05, 'epoch': 0.13}
{'loss': 6.6142, 'grad_norm': 9.00566577911377, 'learning_rate': 1.801159161836826e-05, 'epoch': 0.14}
{'loss': 6.2947, 'grad_norm': 8.116332054138184, 'learning_rate': 1.8100757913508696e-05, 'epoch': 0.14}
{'loss': 5.665, 'grad_norm': 12.777359962463379, 'learning_rate': 1.8189924208649134e-05, 'epoch': 0.14}
{'loss': 5.6326, 'grad_norm': 19.793970108032227, 'learning_rate': 1.827909050378957e-05, 'epoch': 0.14}
{'loss': 6.3436, 'grad_norm': 11.864991188049316, 'learning_rate': 1.8368256798930005e-05, 'epoch': 0.14}
{'loss': 5.3111, 'grad_norm': 19.20295524597168, 'learning_rate': 1.8457423094070442e-05, 'epoch': 0.14}
{'loss': 6.4347, 'grad_norm': 5.874427795410156, 'learning_rate': 1.854658938921088e-05, 'epoch': 0.14}
{'loss': 6.6564, 'grad_norm': 6.950957775115967, 'learning_rate': 1.8635755684351317e-05, 'epoch': 0.14}
{'loss': 4.9026, 'grad_norm': 76.25142669677734, 'learning_rate': 1.8724921979491755e-05, 'epoch': 0.14}
{'loss': 6.0747, 'grad_norm': 7.258437633514404, 'learning_rate': 1.881408827463219e-05, 'epoch': 0.14}
{'loss': 5.6505, 'grad_norm': 9.791847229003906, 'learning_rate': 1.8903254569772626e-05, 'epoch': 0.14}
{'loss': 5.514, 'grad_norm': 7.315167427062988, 'learning_rate': 1.8992420864913063e-05, 'epoch': 0.14}
{'loss': 5.9963, 'grad_norm': 12.510401725769043, 'learning_rate': 1.90815871600535e-05, 'epoch': 0.14}
{'loss': 4.9894, 'grad_norm': 35.68532943725586, 'learning_rate': 1.9170753455193938e-05, 'epoch': 0.14}
{'loss': 5.9967, 'grad_norm': 9.22741413116455, 'learning_rate': 1.9259919750334375e-05, 'epoch': 0.14}
{'loss': 5.7016, 'grad_norm': 30.89482307434082, 'learning_rate': 1.9349086045474813e-05, 'epoch': 0.15}
{'loss': 5.7479, 'grad_norm': 6.060275077819824, 'learning_rate': 1.943825234061525e-05, 'epoch': 0.15}
{'loss': 5.5972, 'grad_norm': 4.058457851409912, 'learning_rate': 1.9527418635755688e-05, 'epoch': 0.15}
{'loss': 6.0496, 'grad_norm': 19.22511863708496, 'learning_rate': 1.961658493089612e-05, 'epoch': 0.15}
{'loss': 5.5975, 'grad_norm': 15.913203239440918, 'learning_rate': 1.970575122603656e-05, 'epoch': 0.15}
{'loss': 5.4586, 'grad_norm': 17.39423942565918, 'learning_rate': 1.9794917521176996e-05, 'epoch': 0.15}
{'loss': 5.9542, 'grad_norm': 6.150031089782715, 'learning_rate': 1.9884083816317434e-05, 'epoch': 0.15}
{'loss': 6.0081, 'grad_norm': 9.773233413696289, 'learning_rate': 1.997325011145787e-05, 'epoch': 0.15}
{'loss': 6.0928, 'grad_norm': 9.20009994506836, 'learning_rate': 1.999999866852603e-05, 'epoch': 0.15}
